Company Code,Fiscal Year,Posting period,Posting Date,Document Date,G/L Account,Reference,Document Currency,Tax Code,Amount in Doc. Curr.,Document Type,Value date,Text
1234,2025,7,7/16/2025,7/15/2025,13003115,917,USD,YI,69.00,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,628,USD,YI,"1,271.44",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,67,USD,YI,794.65,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,16,USD,YI,103.96,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,789,USD,YI,415.84,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,464,USD,YI,415.84,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,569,USD,YI,207.92,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,850,USD,YI,953.58,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,524,USD,YI,"1,294.90",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,821,USD,YI,953.58,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,241,USD,YI,230.92,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,602,USD,YI,262.98,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,425,USD,YI,155.62,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,294,USD,YI,"3,338.60",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,910,USD,YI,"4,573.32",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/22/2025,7/22/2025,13003115,767,USD,YI,"2,062.41",RE,7/22/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/24/2025,7/18/2025,13003115,123,USD,YA,"11,988.75",RE,7/24/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/21/2025,5/1/2025,13003115,844,GBP,YI,"66,166.93",RE,7/21/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,366,GBP,YA,"1,895.43",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,33,USD,YI,"11,989.21",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,218,USD,YI,953.58,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,495,USD,YI,185.95,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,613,USD,YI,51.98,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,1,USD,YI,51.98,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,489,USD,YI,333.15,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,124,USD,YI,"4,573.32",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
